Mosque,Latitude,Longitude,Address,Address2,City,County,State,Zip,Number,Website,Primary Ethnicity,Preceded by,Incorporation Date,Opening Date,Relocation Date,Dissolution Date,OpenDate,CloseDate,Odate,Cdate,z,TimeOpen,Link ,AlbumID,LocationID,isHistoric,Founding Members,History,Description,Photos (exterior),Photos (interior),Photos (people),Video(s),Article(s)
Abu-Bakr Al-Siddique Islamic Center,42.38874,-83.0604,"8904 St Aubin St, Hamtramck, MI 48212",,Hamtramck,Wayne County,,,,,Yemeni,Masjid Muath bin Jabal,,,,,,,,,,,,,1,0,,,,,,,,
Albanian Islamic Center,42.43427,-82.923,19775 Harper Avenue,,Harper Woods,Wayne County,MI,48225,(313) 884-6676,http://www.albaniaislamiccenter.com,"Historically Albanian, but also Mixed Ethnicity",Albanian American Moslem Society,1962,"Nov. 3, 1963",,,1962,N/A,1962,2019,490,570,ExpandedInfo.php?id=1,72157605999298753,2,0,Vehbi Ismail,"Among the oldest mosques in metro Detroit, the Albanian Islamic Center was opened in 1963. The Center’s founder and first imam, Vehbi Ismail, came to Detroit in 1949 and established the Albanian American Moslem Society in the same year. The congregation met first at the International Institute of Detroit, moved to a former Armenian church on Hamilton Avenue, and shared prayer space briefly with the American Moslem Society in Dearborn while waiting for their current structure to be completed. Imam Shuajb Gerguri became acting head of the mosque in 1996 upon Imam Ismail’s retirement.","The Albanian Islamic Center, built in Harper Woods in 1963, boasts a distinctive Balkan-style dome and minaret. With a prayer area, offices, large social hall, classrooms, and kitchen, the mosque serves an old Albanian American community (already well established in the 1940s) and new Muslim immigrants from Albania, Kosovo, Macedonia, and other Balkan countries. The center provides weekend religious instruction in Arabic, Albanian, and English along with other educational and service programs. The Albanian Islamic Center is open to Muslims from all ethnic backgrounds, but immigrants from Europe and their descendents form its core membership and predominate on its board. The mosque is unusual for its location in Detroit’s eastern suburbs.",https://www.flickr.com/photos/biid/2639660403/in/album-72157605999298753/,,,,www.flickr.com/photos/biid/2639660673/in/album-72157605999298753/
Al-Islah Islamic Center (Jame Masjid) ,42.39969,-83.0607,2733 Caniff Street,,Hamtramck,Wayne County,MI,48212,(313) 365-9000,http://www.ulifeonline.org/,Bangladeshi,Baitul-Islam Jame Masjid and Masjidun-Nur,2000,2002,"2016 - to 11301 Joseph Campau, Hamtramck",,2000,N/A,2000,2019,870,190,,72157605994013282,3,0,"Abdul Motlib, Muhammad Ainul Huda, Mohammed Kibria","The Al-Islah Islamic Center was founded in 2000 by Bangladeshi immigrants, most of whom are followers of Allama Abdul Latif Chowdhury (Fultholi). The first Bangladeshi mosque in Hamtramck, Al-Islah was originally located in a small storefront on Joseph Campau and moved to its current home, a renovated medical clinic, in 2001. Al-Islah Islamic Center gained national media attention in 2004, when the congregation sought to broadcast their idhan (call to prayer) from a loudspeaker outside the mosque. The idhan has been broadcast publicly in Detroit since the 1970s, and in Dearborn since the 1980s, but many Hamtramck residents opposed this practice in their city. Al-Islah’s leadership found itself embroiled in an election year battle with the City Council. The matter was resolved in a special city-wide referendum, which Al-Islah and their supporters won handily. The mosque recently purchased a large historic building at the corner of Caniff and Joseph Campau which they plan to develop into a mosque and community center. The renovated larger space is expected to open in 2016. ","The Al-Islah Islamic Center is open daily for all prayers. The masjid occupies two floors of a building that was previously a medical clinic. It has a separate prayer space for women. The interior decoration is minimal, consisting mostly of a row of arches in the main prayer hall. Al-Islah currently sponsors a weekend Islamic school for children, where Arabic, Bangla, and Qur’an are taught. The congregation also runs a summer school. Adults meet weekly for tafsir (Qur’an study) on Sundays, and youth meetings are held once a month. Women attend the center most frequently for tafsir and special programming. While the mosque was founded by Bangladeshis, it is open to all Muslims. The administration has good relations with the local school board, with other mosques in the area, and with local churches and interfaith coalitions.",,,,,
Al-Mahdi Islamic Centre,42.308189,-83.051295,385 Cameron Avenue,,"Windsor, ON",,Canada,N9B 1 Y8,(519) 256-2888,,,,,,,,,N/A,,2019,,,,,4,0,,,,,,,,
Altaqwa Islamic Center,42.31091,-83.3367,30069 Cherry Hill Rd,,Inkster,Wayne County,,48141,(313) 999-6969,http://altaqwaislamiccenter.org/,,,,,,,,N/A,,2019,,,,,5,0,,,,,,,,
Al-Zahraa Islamic Center,42.35714,-83.1991,15571 Joy Road,,Detroit,Wayne County,MI,48228,,,,Karbala Islamic Center,2012,,,,2012,N/A,2012,2019,990,70,,,6,0,,"Located in the former home of the Islamic Center of America, Al-Zahraa opened in 2012 to provide religious services for the growing Iraqi Muslim population in the Detroit area.",,,,,,
American Islamic Community Center,42.49264,-83.0859,27205 Dequindre Road,,Madison Heights,Oakland County,MI,48071,,http://www.aiccmi.com/about-aicc/,Lebanese American,Islamic Center of America,2003,,,,2003,N/A,2003,2019,900,160,,72157605994779040,7,0,,"This group began meeting in 2003 when they realized that a growing population of Muslims (roughly 250 families) were moving into the north eastern suburbs of Detroit and no masjids were nearby for them to worship in.  After meeting in one another's homes, the group began renting space at St. George's Antiochain Orthodox Church in Troy and in a local UAW hall as well.  They quickly moved to incorporate with the State of Michigan and to raise funds for the purchase of their center on Dequindre in Madison Heights.  Unlike their neighbor in Warren, IONA, this community experienced no difficulties with zoning boards or city administrators.  Their center opened in 2004 and includes a prayer space, classrooms, and a large meeting room that can be rented out for appropriate Islamic events and community weddings.  They have provided Saturday Islamic education classes for young people since 2006.   The congregation is predominantly Shia and Arab American.    ",,,,,,
American Moslem Society,42.30431,-83.1436,9934 W. Vernor Highway,,Dearborn,Wayne County,MI,48216,,,,Islamic Mosque of Highland Park,1938,,,,1938,N/A,1938,2019,250,810,,72157605999635591,8,0,Families from the Bekaa Valley in Lebanon,"This is the oldest existing mosque in Michigan.  Founded by several families from the Bekaa Valley in Lebanon, this institution anchored Detroit's Muslim populations as a whole for several generations.  In the 1970's, as new immigration changed the demographics of Dearborn and Muslim communities in Michigan, the mosque changed hands.  In 1981 it was reincorporated under this new leadership, led by Mohamed Shohatee and Abdo Alasry.  Today it remains open to all believers, but is manage by a predominantly Yemeni-American board of directors.  The building has been through many significant renovations.  The green dome pictured above was added in the mid 1950's.  The group's most recent expansion was completed in 2005, greatly increasing available space for congregational prayers, updating their classrooms, and adding a banquet and lecture hall. ",,,,,,
American Muslim Bekaa Center,42.33398,-83.1858,6110 Chase Road,,Dearborn,Wayne County,MI,48126,,,,American Moslem Society,1979,,,,1979,N/A,1979,2019,660,400,,72157605995255860,9,0,,"Established in 1979 as the American Islamic League of Bekaa, the group changed their name in 1981 to the above and purchased and first renovated this facility in 1982.  It has undergone additional renovation since.  The congregation has grown so much in recent years that it helped establish a new facility, the Dearborn Muslim Center, in 2006/2007.  This new facility is better able to accommodate large congregations for Jumaa and holiday prayers.",,,,,,
American Muslim Center,42.29106,-83.2483,21110 Outer Drive,,Dearborn,Wayne County,MI,48124,,http://www.amcdearborn.com,,American Muslim Bekaa Center,2002,,,,2002,N/A,2002,2019,890,170,,7.21576E+16,10,0,,,,,,,,
American Yemeni Islamic Center,42.38871,-83.0523,8564 Joseph Campau,,Hamtramck,Wayne County,MI,48212,(313) 587-5248,,,Masjid Mu'ath Bin Jabal,2004,,,,2004,N/A,2004,2019,910,150,,72157605995568076,11,0,,,,,,,,
American Muslim Diversity Association,42.62265,-83.0702,44760 RYAN RD,,Sterling Heights,Macomb County,,48314,,http://www.amda.us/,"Asian, Bangladeshi",Islamic Association of Greater Detroit,2006,2014,,,2006,N/A,2006,2019,930,130,,72157605995585362,12,0,20 signatories,,,,,,,
Anjumane Najmi,42.44608,-83.3567,20959 Orchard Lake Rd,,Farmington Hills,Oakland County,,48336,(248) 478-2001,http://www.detroitjamaat.online/,"Asian, Indian",,,,,,,N/A,,2019,,,,,13,0,,,Bohra,,,,,
Ar-Rasool Community Center,42.35267,-83.1965,8140 Greenfield Road,,Detroit,Wayne County,MI,48228,,,,Imam Ali Mosque,2001,,,,2001,N/A,2001,2019,880,180,,,14,0,,"This center is more of a community center than masjid.  Services are held during Ramadan and Ashura, but the masjid is not reliably open for daily or juma'a prayers.",,,,,,
Association of Islamic Charitable Projects,42.32644,-83.3117,5715 N. Inkster Road,,Garden City,Wayne County,MI,48135,(734) 523-9940,http://aicpmi.org/index.html,,,,,,,,N/A,,2019,,,,,15,0,,,,,,,,
Baitul-Islam Jame Masjid,42.3871,-83.0396,7826 Klein Street,,Detroit,Wayne County,MI,48211,,,,,1995,,,,1995,N/A,1995,2019,820,240,,72157606000394445,16,0,,,,,,,,
Baitul Ma'moor Sunni Islamic Center,,,,,,,,,,,,,,,,,,N/A,,,,,,,17,0,,,,,,,,
Baitul Muzaffar (Ahmadiyyah Movement of Michigan),42.35443,-83.1573,8218 Wyoming Street,,Detroit,Wayne County,MI,48204,(313) 933-9850,,,,1979,,,,1979,N/A,1979,2019,660,400,,72157605995732572,18,0,,,,,,,,
Bosnian American Islamic Center,42.40189,-83.0549,3437 Caniff Street,,Hamtramck,Wayne County,MI,48212,(313) 891-6192,,Bosnian,,1999,,,,1999,N/A,1999,2019,860,200,,72157605995742790,19,0,,,,,,,,
Bosnian Islamic Center,42.40816,-83.0651,12426 Joseph Campau,,Hamtramck,Wayne County,MI,48212,,,Bosnian,Bosnian American Islamic Center,,,,,,N/A,,2019,,,,72157606559058763,20,0,,,,,,,,
