1,Abu-Bakr Al-Siddique Islamic Center,"8904 St Aubin St, Hamtramck, MI 48212 Hamtramck",NULL,NULL,Yemeni,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Albanian Islamic Center,"19775 Harper Avenue Harper Woods, MI",(313) 884-6676,http://www.albaniaislamiccenter.com,"Historically Albanian, but also Mixed Ethnicity",NULL,1962,"Nov. 3, 1963",NULL,NULL,"The Albanian Islamic Center, built in Harper Woods in 1963, boasts a distinctive Balkan-style dome and minaret. With a prayer area, offices, large social hall, classrooms, and kitchen, the mosque serves an old Albanian American community (already well established in the 1940s) and new Muslim immigrants from Albania, Kosovo, Macedonia, and other Balkan countries. The center provides weekend religious instruction in Arabic, Albanian, and English along with other educational and service programs. The Albanian Islamic Center is open to Muslims from all ethnic backgrounds, but immigrants from Europe and their descendents form its core membership and predominate on its board. The mosque is unusual for its location in Detroit’s eastern suburbs.","Among the oldest mosques in metro Detroit, the Albanian Islamic Center was opened in 1963. The Center’s founder and first imam, Vehbi Ismail, came to Detroit in 1949 and established the Albanian American Moslem Society in the same year. The congregation met first at the International Institute of Detroit, moved to a former Armenian church on Hamilton Avenue, and shared prayer space briefly with the American Moslem Society in Dearborn while waiting for their current structure to be completed. Imam Shuajb Gerguri became acting head of the mosque in 1996 upon Imam Ismail’s retirement.",72157605999298753
3,Al-Islah Islamic Center (Jame Masjid) ,"2733 Caniff Street Hamtramck, MI",(313) 365-9000,http://www.ulifeonline.org/,Bangladeshi,NULL,2000,2002,"2016 - to 11301 Joseph Campau, Hamtramck",NULL,"The Al-Islah Islamic Center is open daily for all prayers. The masjid occupies two floors of a building that was previously a medical clinic. It has a separate prayer space for women. The interior decoration is minimal, consisting mostly of a row of arches in the main prayer hall. Al-Islah currently sponsors a weekend Islamic school for children, where Arabic, Bangla, and Qur’an are taught. The congregation also runs a summer school. Adults meet weekly for tafsir (Qur’an study) on Sundays, and youth meetings are held once a month. Women attend the center most frequently for tafsir and special programming. While the mosque was founded by Bangladeshis, it is open to all Muslims. The administration has good relations with the local school board, with other mosques in the area, and with local churches and interfaith coalitions.","The Al-Islah Islamic Center was founded in 2000 by Bangladeshi immigrants, most of whom are followers of Allama Abdul Latif Chowdhury (Fultholi). The first Bangladeshi mosque in Hamtramck, Al-Islah was originally located in a small storefront on Joseph Campau and moved to its current home, a renovated medical clinic, in 2001. Al-Islah Islamic Center gained national media attention in 2004, when the congregation sought to broadcast their idhan (call to prayer) from a loudspeaker outside the mosque. The idhan has been broadcast publicly in Detroit since the 1970s, and in Dearborn since the 1980s, but many Hamtramck residents opposed this practice in their city. Al-Islah’s leadership found itself embroiled in an election year battle with the City Council. The matter was resolved in a special city-wide referendum, which Al-Islah and their supporters won handily. The mosque recently purchased a large historic building at the corner of Caniff and Joseph Campau which they plan to develop into a mosque and community center. The renovated larger space is expected to open in 2016. ",72157605994013282
4,Altaqwa Islamic Center,"30069 Cherry Hill Rd Inkster, MI",(313) 999-6969,http://altaqwaislamiccenter.org/,NULL,NULL,2010,2010,NULL,NULL,NULL,NULL,NULL
5,Al-Zahraa Islamic Center,"15571 Joy Road Detroit, MI",NULL,NULL,NULL,NULL,2012,NULL,NULL,NULL,NULL,"Located in the former home of the Islamic Center of America, Al-Zahraa opened in 2012 to provide religious services for the growing Iraqi Muslim population in the Detroit area.",NULL
6,American Islamic Community Center,"27205 Dequindre Road Madison Heights, MI",NULL,http://www.aiccmi.com/about-aicc/,Lebanese American,NULL,2003,NULL,NULL,NULL,NULL,"This group began meeting in 2003 when they realized that a growing population of Muslims (roughly 250 families) were moving into the north eastern suburbs of Detroit and no masjids were nearby for them to worship in.  After meeting in one another's homes, the group began renting space at St. George's Antiochain Orthodox Church in Troy and in a local UAW hall as well.  They quickly moved to incorporate with the State of Michigan and to raise funds for the purchase of their center on Dequindre in Madison Heights.  Unlike their neighbor in Warren, IONA, this community experienced no difficulties with zoning boards or city administrators.  Their center opened in 2004 and includes a prayer space, classrooms, and a large meeting room that can be rented out for appropriate Islamic events and community weddings.  They have provided Saturday Islamic education classes for young people since 2006.   The congregation is predominantly Shia and Arab American.    ",72157605994779040
7,American Moslem Society,"9934 W. Vernor Highway Dearborn, MI",NULL,NULL,NULL,NULL,1938,NULL,NULL,NULL,NULL,"This is the oldest existing mosque in Michigan.  Founded by several families from the Bekaa Valley in Lebanon, this institution anchored Detroit's Muslim populations as a whole for several generations.  In the 1970's, as new immigration changed the demographics of Dearborn and Muslim communities in Michigan, the mosque changed hands.  In 1981 it was reincorporated under this new leadership, led by Mohamed Shohatee and Abdo Alasry.  Today it remains open to all believers, but is manage by a predominantly Yemeni-American board of directors.  The building has been through many significant renovations.  The green dome pictured above was added in the mid 1950's.  The group's most recent expansion was completed in 2005, greatly increasing available space for congregational prayers, updating their classrooms, and adding a banquet and lecture hall. ",72157605999635591
8,American Muslim Bekaa Center,"6110 Chase Road Dearborn, MI",NULL,NULL,NULL,NULL,1979,NULL,NULL,NULL,NULL,"Established in 1979 as the American Islamic League of Bekaa, the group changed their name in 1981 to the above and purchased and first renovated this facility in 1982.  It has undergone additional renovation since.  The congregation has grown so much in recent years that it helped establish a new facility, the Dearborn Muslim Center, in 2006/2007.  This new facility is better able to accommodate large congregations for Jumaa and holiday prayers.",72157605995255860
9,American Muslim Center,"21110 Outer Drive Dearborn, MI",NULL,http://www.amcdearborn.com,NULL,NULL,2002,NULL,NULL,NULL,NULL,NULL,72157605995308400
10,American Yemeni Islamic Center,"8564 Joseph Campau Hamtramck, MI",(313) 587-5248,NULL,NULL,NULL,2004,NULL,NULL,NULL,NULL,NULL,72157605995568076
